,Median of Age,Mean of Age,Std of Age,Median of Matches Played,Mean of Matches Played,Std of Matches Played,Median of Starts,Mean of Starts,Std of Starts,Median of Minutes,Mean of Minutes,Std of Minutes,Median of Gls,Mean of Gls,Std of Gls,Median of Ast,Mean of Ast,Std of Ast,Median of crdY,Mean of crdY,Std of crdY,Median of crdR,Mean of crdR,Std of crdR,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG,Median of PrgC,Mean of PrgC,Std of PrgC,Median of PrgP,Mean of PrgP,Std of PrgP,Median of PrgR,Mean of PrgR,Std of PrgR,Median of Gls per 90,Mean of Gls per 90,Std of Gls per 90,Median of Ast per 90,Mean of Ast per 90,Std of Ast per 90,Median of xG per 90,Mean of xG per 90,Std of xG per 90,Median of xAG per 90,Mean of xAG per 90,Std of xAG per 90,Median of GA90,Mean of GA90,Std of GA90,Median of Save%,Mean of Save%,Std of Save%,Median of CS%,Mean of CS%,Std of CS%,Median of PK Save%,Mean of PK Save%,Std of PK Save%,Median of SoT%,Mean of SoT%,Std of SoT%,Median of SoT per 90,Mean of SoT per 90,Std of SoT per 90,Median of G per Sh,Mean of G per Sh,Std of G per Sh,Median of Dist,Mean of Dist,Std of Dist,Median of Cmp,Mean of Cmp,Std of Cmp,Median of Cmp%,Mean of Cmp%,Std of Cmp%,Median of TotDist,Mean of TotDist,Std of TotDist,Median of ShortCmp%,Mean of ShortCmp%,Std of ShortCmp%,Median of MedCmp%,Mean of MedCmp%,Std of MedCmp%,Median of LongCmp%,Mean of LongCmp%,Std of LongCmp%,Median of KP,Mean of KP,Std of KP,Median of Pass into 1_3,Mean of Pass into 1_3,Std of Pass into 1_3,Median of PPA,Mean of PPA,Std of PPA,Median of CrsPA,Mean of CrsPA,Std of CrsPA,Median of SCA,Mean of SCA,Std of SCA,Median of SCA90,Mean of SCA90,Std of SCA90,Median of GCA,Mean of GCA,Std of GCA,Median of GCA90,Mean of GCA90,Std of GCA90,Median of Tkl,Mean of Tkl,Std of Tkl,Median of TklW,Mean of TklW,Std of TklW,Median of Deff Att,Mean of Deff Att,Std of Deff Att,Median of Lost,Mean of Lost,Std of Lost,Median of Blocks,Mean of Blocks,Std of Blocks,Median of Sh,Mean of Sh,Std of Sh,Median of Pass,Mean of Pass,Std of Pass,Median of Int,Mean of Int,Std of Int,Median of Touches,Mean of Touches,Std of Touches,Median of Def Pen,Mean of Def Pen,Std of Def Pen,Median of Def 3rd,Mean of Def 3rd,Std of Def 3rd,Median of Mid 3rd,Mean of Mid 3rd,Std of Mid 3rd,Median of Att 3rd,Mean of Att 3rd,Std of Att 3rd,Median of Att Pen,Mean of Att Pen,Std of Att Pen,Median of Take-Ons Att,Mean of Take-Ons Att,Std of Take-Ons Att,Median of Succ%,Mean of Succ%,Std of Succ%,Median of Tkld%,Mean of Tkld%,Std of Tkld%,Median of Carries,Mean of Carries,Std of Carries,Median of ProDist,Mean of ProDist,Std of ProDist,Median of Carries 1_3,Mean of Carries 1_3,Std of Carries 1_3,Median of CPA,Mean of CPA,Std of CPA,Median of Mis,Mean of Mis,Std of Mis,Median of Dis,Mean of Dis,Std of Dis,Median of Rec,Mean of Rec,Std of Rec,Median of Rec PrgR,Mean of Rec PrgR,Std of Rec PrgR,Median of Fls,Mean of Fls,Std of Fls,Median of Fld,Mean of Fld,Std of Fld,Median of Off,Mean of Off,Std of Off,Median of Crs,Mean of Crs,Std of Crs,Median of Recov,Mean of Recov,Std of Recov,Median of Aerl Won,Mean of Aerl Won,Std of Aerl Won,Median of Aerl Lost,Mean of Aerl Lost,Std of Aerl Lost,Median of Aerl Won%,Mean of Aerl Won%,Std of Aerl Won%
all,26.56,26.91,4.24,22.0,20.85,9.63,14.5,15.35,10.65,1347.5,1375.35,899.91,1.0,2.01,3.51,1.0,1.5,2.22,2.0,2.94,2.58,0.0,0.09,0.31,0.8,2.02,3.08,0.8,1.5,1.86,14.5,26.06,30.43,38.5,51.49,49.62,24.0,50.95,63.7,0.03,0.12,0.19,0.04,0.09,0.13,0.07,0.13,0.16,0.07,0.1,0.1,1.47,1.64,0.65,68.3,67.17,8.31,18.8,23.92,22.68,0.0,18.53,29.76,30.1,29.45,20.05,0.23,0.39,0.45,0.06,0.08,0.1,16.3,16.77,5.1,451.0,552.13,453.41,80.05,79.27,8.26,7324.0,9476.23,8174.97,89.8,88.69,6.83,85.7,83.92,10.26,53.9,54.39,15.81,8.5,13.67,15.3,29.0,43.1,44.25,6.0,11.62,14.32,1.0,2.75,4.28,21.0,31.95,32.07,1.83,2.08,1.42,2.0,3.5,4.21,0.16,0.22,0.23,17.0,24.66,22.41,10.0,14.72,13.77,17.0,22.46,20.14,8.0,11.03,10.26,12.0,15.24,13.6,3.0,5.16,7.24,8.0,10.07,9.28,7.0,11.16,11.65,741.5,834.69,613.41,31.5,94.44,174.3,158.5,275.99,302.74,277.0,354.68,311.7,141.0,212.23,208.81,20.0,34.54,40.9,13.5,25.37,31.0,44.8,46.59,22.64,43.8,42.44,21.67,399.0,467.97,354.28,1040.5,1300.36,1082.65,13.0,17.57,18.2,2.0,8.1,14.14,13.0,18.9,19.14,7.5,13.17,14.69,482.0,546.04,415.02,24.0,50.95,63.7,12.0,15.42,13.67,10.0,14.91,14.47,1.0,2.4,3.95,9.0,24.42,35.71,45.5,58.02,45.98,10.0,18.0,20.95,13.0,18.0,18.21,50.0,48.98,21.7
Arsenal,26.86,26.48,3.82,22.5,22.59,7.93,16.0,17.0,10.16,1427.5,1519.45,881.68,2.0,2.77,2.81,1.5,2.27,2.68,2.5,2.91,1.97,0.0,0.23,0.53,1.65,2.5,2.59,0.9,1.89,2.13,23.0,34.32,31.38,55.5,75.18,60.82,51.0,74.18,75.04,0.1,0.16,0.17,0.11,0.14,0.15,0.1,0.15,0.14,0.1,0.12,0.12,0.85,0.85,,75.5,75.5,,35.3,35.3,,0.0,0.0,,31.7,27.89,16.69,0.22,0.41,0.41,0.14,0.14,0.13,15.0,14.67,5.0,459.5,700.41,551.78,82.8,82.35,6.3,7044.5,11484.32,9779.36,91.95,90.87,4.76,86.0,84.87,8.05,53.15,55.55,9.68,10.0,17.14,17.31,39.5,56.95,52.28,9.0,17.86,17.82,1.5,3.0,3.63,24.0,38.82,33.09,2.24,2.46,1.43,3.0,4.91,5.49,0.25,0.3,0.31,19.0,24.09,20.33,12.0,14.27,12.33,20.0,20.77,14.17,10.5,10.32,7.17,10.0,13.18,10.84,1.5,4.32,6.79,7.5,8.86,7.27,6.0,9.27,8.65,738.5,983.77,662.53,24.0,73.59,163.87,120.5,246.18,327.21,291.0,427.95,385.05,223.5,316.91,232.45,37.0,52.5,48.6,22.5,29.73,28.69,43.45,48.88,22.22,35.05,36.92,17.63,406.5,578.18,402.19,1282.5,1631.95,1113.23,19.0,21.36,17.96,4.5,11.77,14.58,15.0,19.32,15.29,13.5,15.68,13.36,528.5,693.68,483.47,51.0,74.18,75.04,14.0,16.64,11.06,17.0,16.32,11.71,1.5,3.41,3.72,11.0,31.82,42.05,48.0,58.05,40.03,10.5,19.5,19.82,15.5,18.95,17.76,51.15,48.0,19.48
Aston Villa,27.72,27.11,4.11,20.0,19.19,10.0,11.0,13.7,11.39,1051.0,1228.0,918.18,1.0,1.85,3.35,0.0,1.44,2.41,2.0,2.52,2.24,0.0,0.07,0.27,0.8,1.87,2.98,0.4,1.37,1.98,16.0,23.11,23.18,34.0,43.85,46.85,17.0,42.33,51.73,0.03,0.17,0.29,0.0,0.07,0.1,0.08,0.18,0.24,0.06,0.08,0.08,1.7,1.7,0.42,60.75,60.75,7.28,57.6,57.6,59.96,50.0,50.0,,27.8,29.47,22.6,0.19,0.45,0.68,0.05,0.08,0.09,16.25,16.82,4.57,470.0,489.96,414.94,82.4,81.59,7.02,6225.0,8386.63,7735.31,91.6,90.14,5.63,86.5,86.84,7.45,53.5,54.8,15.16,5.0,11.7,14.82,23.0,38.0,45.65,7.0,10.3,12.61,0.0,1.81,3.74,18.0,27.96,29.5,1.67,1.99,1.27,2.0,3.37,3.82,0.17,0.22,0.21,11.0,21.37,20.35,6.0,12.3,12.43,11.0,18.11,18.64,5.0,7.93,8.13,10.0,10.96,8.9,3.0,3.63,4.15,6.0,7.33,6.26,5.0,8.22,8.33,674.0,718.63,558.3,32.0,87.63,189.53,134.0,244.44,293.08,252.0,307.96,292.37,112.0,173.26,168.95,18.0,31.0,37.91,17.0,23.48,29.22,48.7,51.05,25.5,40.6,38.0,23.08,404.0,406.41,309.26,1082.0,1175.0,920.33,13.0,14.7,13.03,2.0,6.7,10.49,9.0,16.7,21.62,8.0,12.74,15.15,481.0,479.74,376.16,17.0,42.33,51.73,9.0,13.78,13.45,9.0,16.3,17.19,1.0,1.81,2.77,4.0,19.19,34.31,39.0,46.37,35.55,8.0,12.44,11.73,10.0,13.67,13.81,48.6,41.45,23.71
Bournemouth,25.99,26.46,3.84,25.0,21.61,9.84,17.0,16.22,11.33,1580.0,1451.74,975.76,1.0,2.26,3.49,1.0,1.65,1.99,3.0,3.78,3.15,0.0,0.09,0.29,1.1,2.64,3.5,1.1,1.77,1.83,19.0,29.26,34.02,41.0,57.43,51.58,31.0,56.61,70.38,0.03,0.13,0.18,0.05,0.1,0.12,0.08,0.18,0.2,0.1,0.13,0.15,1.0,1.09,0.15,80.0,80.0,4.6,20.0,15.3,13.57,0.0,0.0,,30.35,24.98,17.03,0.15,0.54,0.65,0.06,0.06,0.05,16.45,15.83,4.37,436.0,488.91,394.52,74.2,73.82,6.58,7088.0,8854.96,7609.61,88.0,86.8,7.18,78.2,81.37,10.78,46.9,46.67,17.73,11.0,17.43,16.26,37.0,47.35,47.01,7.0,12.96,13.66,2.0,3.91,5.26,28.0,40.13,35.79,2.35,2.6,1.87,2.0,3.87,4.03,0.22,0.23,0.21,21.0,27.48,23.13,10.0,15.91,14.41,25.0,24.87,21.02,13.0,13.13,10.49,15.0,18.48,16.53,3.0,5.57,7.08,8.0,12.91,12.58,10.0,14.0,15.3,783.0,829.09,608.27,44.0,87.48,146.08,159.0,249.65,270.36,298.0,354.17,312.72,127.0,235.52,234.76,19.0,39.13,47.78,16.0,26.43,31.65,41.25,43.01,19.27,45.1,43.08,19.19,479.0,445.13,332.01,1080.0,1396.87,1258.75,15.0,20.35,19.82,1.0,9.0,15.89,17.0,22.96,21.07,8.0,13.83,17.0,413.0,484.0,357.84,31.0,56.61,70.38,15.0,19.83,17.74,10.0,15.3,13.57,0.0,2.74,5.07,10.0,32.3,40.42,56.0,71.43,56.26,20.0,22.78,20.83,22.0,24.22,20.54,46.1,50.2,18.12
Brentford,24.82,26.19,3.91,26.0,22.24,10.84,21.0,17.29,12.63,1913.0,1547.67,1066.35,0.0,2.67,5.11,1.0,1.76,2.45,2.0,2.29,1.59,0.0,0.05,0.22,0.8,2.42,3.83,1.2,1.74,2.2,12.0,24.52,31.19,51.0,55.9,52.12,27.0,55.29,73.31,0.0,0.11,0.19,0.06,0.08,0.1,0.06,0.12,0.16,0.08,0.09,0.08,1.38,1.38,0.21,61.65,61.65,16.48,57.8,57.8,59.68,0.0,0.0,,37.5,32.6,16.51,0.17,0.31,0.37,0.06,0.08,0.09,14.9,15.85,4.32,471.0,553.86,426.45,77.2,76.54,7.97,7521.0,10141.9,8967.73,87.1,86.5,7.89,79.9,81.97,10.02,55.1,55.42,13.44,8.0,13.62,16.74,41.0,45.76,38.3,7.0,13.52,17.89,2.0,3.71,5.04,21.0,32.29,34.53,1.72,1.88,1.18,2.0,4.62,5.7,0.2,0.27,0.25,24.0,25.95,21.29,16.0,15.57,12.48,24.0,24.29,19.59,10.0,11.29,9.93,17.0,19.95,18.33,4.0,8.19,12.13,12.0,11.76,9.75,8.0,12.24,11.91,762.0,889.05,639.21,47.0,138.52,274.65,216.0,348.86,401.44,325.0,329.71,263.55,158.0,218.67,222.93,24.0,40.81,44.3,12.0,25.71,32.42,45.2,47.73,19.31,42.9,43.31,16.16,382.0,470.71,345.34,1164.0,1298.62,1089.3,9.0,15.19,18.25,1.0,8.67,16.67,14.0,21.29,23.82,8.0,12.05,13.0,475.0,545.62,392.17,27.0,55.29,73.31,11.0,12.43,10.11,10.0,14.19,13.56,1.0,2.95,4.48,13.0,27.9,42.82,50.0,67.33,53.94,12.0,26.0,29.82,14.0,23.1,23.08,55.1,54.04,19.43
Brighton,24.74,26.42,5.16,21.5,19.46,9.96,12.5,14.23,9.7,1200.5,1269.88,857.83,1.0,2.04,3.04,1.0,1.38,1.6,2.5,2.81,2.53,0.0,0.12,0.33,0.75,1.97,2.73,1.15,1.37,1.42,18.0,27.35,30.5,40.0,52.12,49.7,29.5,51.38,63.59,0.04,0.12,0.14,0.04,0.1,0.13,0.08,0.12,0.12,0.09,0.1,0.08,1.1,1.1,0.84,69.15,69.15,8.27,34.4,34.4,22.06,0.0,0.0,,29.0,29.57,22.15,0.27,0.33,0.31,0.06,0.08,0.09,16.1,17.33,3.98,390.5,539.5,477.78,81.85,80.17,8.05,5865.5,9199.38,9134.46,91.1,89.97,6.14,82.8,82.01,10.8,53.9,56.68,13.74,12.5,12.31,10.13,28.0,40.31,48.64,8.5,11.46,10.47,1.5,3.0,3.86,25.5,31.27,23.53,2.81,2.5,1.24,3.0,3.73,2.86,0.3,0.32,0.27,17.0,23.65,19.09,11.0,14.38,11.65,18.5,23.92,18.39,10.0,12.31,9.09,12.0,14.88,12.07,2.0,4.15,5.45,10.0,10.73,9.85,9.5,10.77,9.5,638.0,804.5,607.95,26.0,89.08,196.73,133.5,258.88,324.43,256.0,349.38,322.49,153.5,205.19,180.15,17.5,35.5,43.08,12.0,27.35,32.49,40.0,44.28,22.45,47.9,47.34,21.48,376.5,473.54,381.48,1113.0,1426.23,1429.07,17.0,19.31,18.75,2.5,8.69,15.27,11.5,19.31,19.31,7.0,11.42,12.45,411.5,531.35,419.29,29.5,51.38,63.59,11.0,14.92,12.31,9.0,14.08,14.79,1.0,1.54,1.82,10.0,23.12,27.92,47.0,55.15,43.76,14.0,17.62,18.13,13.0,15.62,14.77,53.8,50.77,20.27
Chelsea,24.19,24.0,2.37,23.5,20.04,10.84,13.5,15.04,11.61,1200.5,1352.79,1011.0,1.0,2.33,3.58,1.0,1.79,2.26,3.0,3.83,3.29,0.0,0.04,0.2,0.85,2.61,4.09,1.05,1.98,2.38,15.0,32.21,39.69,34.5,59.17,63.63,15.0,60.29,75.9,0.05,0.15,0.21,0.06,0.14,0.19,0.08,0.16,0.18,0.1,0.16,0.17,1.31,1.31,0.28,74.05,74.05,3.75,22.65,22.65,8.41,10.0,10.0,14.14,31.4,28.72,22.23,0.32,0.47,0.51,0.08,0.08,0.08,15.3,15.45,4.65,512.0,656.21,594.5,84.2,83.54,6.38,7569.5,11366.04,10673.64,91.55,90.78,5.8,90.1,88.03,7.4,58.05,56.7,18.46,8.5,17.42,21.43,27.0,54.79,59.3,6.0,13.5,17.33,0.0,2.92,5.52,16.5,40.38,46.66,2.32,2.44,1.68,2.5,4.12,4.63,0.2,0.26,0.25,12.5,21.08,23.89,9.0,13.21,14.79,12.0,19.54,22.61,6.5,9.88,11.85,9.0,12.67,13.29,1.5,3.75,5.68,6.5,8.92,9.73,7.5,9.79,11.35,798.0,915.25,770.53,19.5,85.79,180.89,123.5,269.38,336.86,254.5,410.71,419.55,126.5,242.79,259.21,12.5,42.25,51.04,14.0,29.21,33.62,44.25,44.46,17.26,40.0,42.11,20.94,479.0,532.79,425.88,1453.5,1522.12,1174.92,11.5,18.21,19.17,1.5,11.83,20.84,9.5,17.12,19.43,6.5,11.29,12.01,568.0,652.88,544.68,15.0,60.29,75.9,10.0,16.0,16.15,11.0,16.54,16.82,1.0,2.29,3.98,3.5,25.29,41.29,42.5,56.83,50.54,9.0,14.0,16.91,8.5,14.33,14.99,40.0,44.79,26.43
Crystal Palace,27.18,27.16,3.13,29.0,23.38,10.21,18.0,17.71,12.47,1562.0,1585.9,1047.05,0.0,1.86,3.37,1.0,1.52,2.09,2.0,3.48,3.25,0.0,0.19,0.4,1.0,2.44,3.34,1.2,1.88,2.11,11.0,21.1,21.89,46.0,48.67,38.25,10.0,48.19,62.81,0.0,0.09,0.13,0.03,0.06,0.08,0.08,0.14,0.14,0.11,0.1,0.07,1.38,1.38,,66.9,66.9,,29.4,29.4,,50.0,50.0,,33.3,30.12,18.02,0.34,0.5,0.47,0.0,0.06,0.09,17.7,18.14,5.67,511.0,504.38,382.23,75.6,74.23,6.96,8122.0,9060.9,7422.37,85.3,84.42,6.45,82.0,79.97,10.58,46.7,49.84,18.5,9.0,15.62,15.76,27.0,37.81,31.63,4.0,11.43,12.01,1.0,2.81,4.07,26.0,36.29,33.82,2.06,2.2,1.5,3.0,3.52,3.31,0.16,0.18,0.17,21.0,32.62,29.19,14.0,19.14,18.12,23.0,27.95,21.55,15.0,14.05,9.84,19.0,20.48,17.7,3.0,5.9,6.77,13.0,14.57,12.77,11.0,13.67,14.07,827.0,860.86,604.16,27.0,107.71,212.6,172.0,322.71,357.73,367.0,358.14,264.31,137.0,188.24,178.24,15.0,32.57,34.79,12.0,20.33,28.56,40.95,41.49,23.87,46.6,48.24,26.48,413.0,431.52,304.65,949.0,1055.0,767.83,10.0,15.0,13.66,1.0,5.19,7.51,14.0,21.0,20.38,13.0,14.38,14.11,510.0,499.67,342.67,10.0,48.19,62.81,12.0,17.62,15.85,18.0,17.24,14.97,1.0,3.14,4.91,11.0,25.43,31.19,60.0,70.86,52.54,17.0,21.67,21.55,19.0,27.14,24.63,43.4,41.18,18.61
Everton,27.12,28.22,5.0,25.0,22.24,9.07,15.0,17.57,10.4,1301.0,1569.29,884.27,1.0,1.43,2.01,1.0,0.9,1.14,3.0,3.24,2.28,0.0,0.1,0.3,1.1,1.69,2.0,0.8,1.28,1.14,12.0,20.0,20.44,38.0,42.0,35.02,24.0,41.95,40.29,0.03,0.09,0.12,0.03,0.05,0.08,0.05,0.11,0.12,0.06,0.08,0.07,1.21,1.21,,71.5,71.5,,29.4,29.4,,100.0,100.0,,36.35,32.65,23.81,0.21,0.34,0.36,0.05,0.08,0.11,17.05,17.12,5.39,434.0,467.76,331.11,73.0,74.16,8.04,7325.0,8864.71,7685.79,86.2,85.39,7.78,82.3,79.51,12.5,55.0,57.16,15.56,8.0,12.19,10.18,35.0,41.48,34.26,8.0,10.33,10.36,1.0,3.71,5.45,25.0,28.95,19.88,1.72,1.77,1.0,2.0,2.38,2.11,0.1,0.15,0.15,27.0,30.95,28.47,14.0,18.19,17.18,22.0,27.48,22.23,8.0,13.29,11.24,14.0,16.48,14.33,3.0,6.0,9.48,8.0,10.48,8.5,10.0,14.05,12.8,734.0,804.86,500.35,31.0,103.76,218.37,187.0,294.14,357.39,304.0,323.38,228.44,185.0,195.86,142.47,19.0,29.86,25.71,20.0,27.05,30.06,46.35,47.23,19.82,45.75,45.29,20.48,336.0,388.38,239.87,780.0,1036.57,805.47,10.0,14.57,11.5,2.0,5.14,7.07,13.0,21.38,19.82,12.0,16.19,13.98,406.0,462.14,268.61,24.0,41.95,40.29,15.0,18.19,13.82,14.0,15.43,12.55,1.0,3.62,6.44,7.0,28.24,36.22,60.0,63.76,47.01,10.0,25.43,29.31,15.0,23.43,23.03,50.0,47.68,18.55
